pct,org_code,org_name,org_type,chem_sub,bnf_name,quantity_per_item,jan_2020_items,jan_2021_items
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,1,1
107,107,NEWCASTLE CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,11,12
36L,36L,NHS SOUTH WEST LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,16,3
216,216,NORTH EAST LINCOLNSHIRE COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,4,1
DMH,DMH,FRAMEWORK,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,0,1
310,310,STOCKPORT METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,1,1
36L,36L,NHS SOUTH WEST LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,16,17
09A,W2U3Z,NHS NORTH WEST LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,1.0,4,3
212,212,LEEDS CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,4,1
11J,11J,NHS DORSET CCG,CCG,Naltrexone hydrochloride,Naltrexone 50mg tablets,1.0,6,0
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,1.0,0,1
310,310,STOCKPORT METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,1,0
05C,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,1.0,0,4
NKI,NKI,TURNING POINT,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,1.0,2,4
05A,B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Buvidal 128mg/0.36ml prolonged-release inj pf syringes,1.0,0,13
01A,01A,NHS EAST LANCASHIRE CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,1.0,1,0
